Identifier,Unit id,Additional context,Exclusion
1,doe,Appendix A to Subpart D of Part 1021—Categorical Exclusions Applicable to General Agency Actions,"A1 ROUTINE DOE BUSINESS ACTIONS. Routine actions necessary to support the normal conduct of DOE business limited to administrative, financial, and personnel actions."
2,doe,Appendix A to Subpart D of Part 1021—Categorical Exclusions Applicable to General Agency Actions,"A2 CLARIFYING OR ADMINISTRATIVE CONTRACT ACTIONS. Contract interpretations, amendments, and modifications that are clarifying or administrative in nature."
3,doe,Appendix A to Subpart D of Part 1021—Categorical Exclusions Applicable to General Agency Actions,"A3 CERTAIN ACTIONS BY OFFICE OF HEARINGS AND APPEALS. Adjustments, exceptions, exemptions, appeals and stays, modifications, or rescissions of orders issued by the Office of Hearings and Appeals."
4,doe,Appendix A to Subpart D of Part 1021—Categorical Exclusions Applicable to General Agency Actions,"A4 INTERPRETATIONS AND RULINGS FOR EXISTING REGULATIONS. Interpretations and rulings with respect to existing regulations, or modifications or rescissions of such interpretations and rulings. "
5,doe,"Appendix B to Subpart D of Part 1021—Categorical Exclusions Applicable to Specific Agency Actions
B. Conditions That Are Integral Elements of the Classes of Actions in Appendix B
The classes of actions listed below include the following conditions as integral elements of the classes of actions. To fit within the classes of actions listed below, a proposal must be one that would not:","B1 Threaten a violation of applicable statutory, regulatory, or permit requirements for environment, safety, and health, or similar requirements of DOE or Executive Orders;"
6,doe,"Appendix B to Subpart D of Part 1021—Categorical Exclusions Applicable to Specific Agency Actions
B. Conditions That Are Integral Elements of the Classes of Actions in Appendix B
The classes of actions listed below include the following conditions as integral elements of the classes of actions. To fit within the classes of actions listed below, a proposal must be one that would not:","B2 Require siting and construction or major expansion of waste storage, disposal, recovery, or treatment facilities (including incinerators), but the proposal may include categorically excluded waste storage, disposal, recovery, or treatment actions or facilities;"
7,doe,"Appendix B to Subpart D of Part 1021—Categorical Exclusions Applicable to Specific Agency Actions
B. Conditions That Are Integral Elements of the Classes of Actions in Appendix B
The classes of actions listed below include the following conditions as integral elements of the classes of actions. To fit within the classes of actions listed below, a proposal must be one that would not:","B3 Disturb hazardous substances, pollutants, contaminants, or CERCLA-excluded petroleum and natural gas products that preexist in the environment such that there would be uncontrolled or unpermitted releases;"
8,doe,"Appendix B to Subpart D of Part 1021—Categorical Exclusions Applicable to Specific Agency Actions
B. Conditions That Are Integral Elements of the Classes of Actions in Appendix B
The classes of actions listed below include the following conditions as integral elements of the classes of actions. To fit within the classes of actions listed below, a proposal must be one that would not:","B4 Have the potential to cause significant impacts on environmentally sensitive resources. An environmentally sensitive resource is typically a resource that has been identified as needing protection through Executive Order, statute, or regulation by Federal, state, or local government, or a Federally recognized Indian tribe. An action may be categorically excluded if, although sensitive resources are present, the action would not have the potential to cause significant impacts on those resources (such as construction of a building with its foundation well above a sole-source aquifer or upland surface soil removal on a site that has wetlands). Environmentally sensitive resources include, but are not limited to:

(i) Property (such as sites, buildings, structures, and objects) of historic, archeological, or architectural significance designated by a Federal, state, or local government, Federally recognized Indian tribe, or Native Hawaiian organization, or property determined to be eligible for listing on the National Register of Historic Places;
(ii) Federally-listed threatened or endangered species or their habitat (including critical habitat) or Federally-proposed or candidate species or their habitat (Endangered Species Act); state-listed or state-proposed endangered or threatened species or their habitat; Federally-protected marine mammals and Essential Fish Habitat (Marine Mammal Protection Act; Magnuson-Stevens Fishery Conservation and Management Act); and otherwise Federally-protected species (such as the Bald and Golden Eagle Protection Act or the Migratory Bird Treaty Act); 
(iii) Floodplains and wetlands (as defined in 10 CFR 1022.4, ‘‘Compliance with Floodplain and Wetland Environmental Review Requirements: Definitions,’’ or its successor);
(iv) Areas having a special designation such as Federally- and state-designated wilderness areas, national parks, national monuments, national natural landmarks, wild and scenic rivers, state and Federal wildlife refuges, scenic areas (such as National Scenic and Historic Trails or National Scenic Areas), and marine sanctuaries; 
(v) Prime or unique farmland, or other farmland of statewide or local importance, as defined at 7 CFR 658.2(a), ‘‘Farmland Protection Policy Act: Definitions,’’ or its successor;
(vi) Special sources of water (such as solesource aquifers, wellhead protection areas, and other water sources that are vital in a region); and
(vii) Tundra, coral reefs, or rain forests; or"
9,doe,"Appendix B to Subpart D of Part 1021—Categorical Exclusions Applicable to Specific Agency Actions
B. Conditions That Are Integral Elements of the Classes of Actions in Appendix B
The classes of actions listed below include the following conditions as integral elements of the classes of actions. To fit within the classes of actions listed below, a proposal must be one that would not:","B5 Involve genetically engineered organisms, synthetic biology, governmentally designated noxious weeds, or invasive species, unless the proposed activity would be contained or confined in a manner designed and operated to prevent unauthorized release into the environment and conducted in accordance with applicable requirements, such as those of the Department of Agriculture, the Environmental Protection Agency, and the National Institutes of Health."
10,dol,,"(i) Promulgation, modification or revocation of any safety standard. Examples of these actions are: Machine guarding requirements, safety lines, warning signals, etc."
11,dol,,(ii) Approval of petitions for variances from MSHA/OSHA safety standards or OSHA health standards.
12,dol,,(iii) Agency legislative requests for appropriations.
13,dol,,(iv) Recordkeeping and reporting requirements.
14,dol,,(v) Routine agency personnel actions.
15,dol,,"(vi) Training of employers, employees, agency personnel and others in the recognition, avoidance or abatement of occupational hazards. Providing consultative services to industry."
16,dol,,(vii) Enforcement proceedings.
17,dol,,(viii) Equipment approvals.
18,dol,,(ix) State grants under Sec. 503 of the Federal Mine Safety and Health Act.
19,dol,,(x) Certification or qualification proceedings.
20,dhs,Administrative & Regulatory Activities,"A1 Personnel, fiscal, management, and administrative activities, such as recruiting, processing, paying, recordkeeping, resource management, budgeting, personnel actions, and travel."
21,dhs,Administrative & Regulatory Activities,"A2 Reductions, realignments, or relocation of personnel that do not result in exceeding the infrastructure capacity or changing the use of space. An example of a substantial change in use of the supporting infrastructure would be an increase in vehicular traffic beyond the capacity of the supporting road network to accommodate such an increase."
22,dhs,Administrative & Regulatory Activities,"A3 Promulgation of rules, issuance of rulings or interpretations, and the development and publication of policies, orders, directives, notices, procedures, manuals, advisory circulars, and other guidance documents of the following nature:
(a) Those of a strictly administrative or procedural nature;
(b) Those that implement, without substantive change, statutory or regulatory requirements;
(c) Those that implement, without substantive change, procedures, manuals, and other guidance documents;
(d) Those that interpret or amend an existing regulation without changing its environmental effect;
(e) Technical guidance on safety and security matters; or
(f) Guidance for the preparation of security plans."
23,dhs,Administrative & Regulatory Activities,"A4 Information gathering, data analysis and processing, information dissemination, review, interpretation, and development of documents. If any of these activities result in proposals for further action, those proposals must be covered by an appropriate CATEX. Examples include but are not limited to:
(a) Document mailings, publication and distribution, training and information programs, historical and cultural demonstrations, and public affairs actions.
(b) Studies, reports, proposals, analyses, literature reviews; computer modeling; and non-intrusive intelligence gathering activities."
24,dhs,Administrative & Regulatory Activities,"A5 Awarding of contracts for technical support services, ongoing management and operation of government facilities, and professional services that do not involve unresolved conflicts concerning alternative uses of available resources."
25,dhs,Administrative & Regulatory Activities,"A6 Procurement of non-hazardous goods and services, and storage, recycling, and disposal of non-hazardous materials and wastes, that complies with applicable requirements and is in support of routine administrative, operational, or maintenance activities. Storage activities must occur on previously disturbed land or in existing facilities. Examples include but are not limited to:
(a) Office supplies,
(b) Equipment,
(c) Mobile assets,
(d) Utility services,
(e) Chemicals and low level radio nuclides for laboratory use,
(f) Deployable emergency response supplies and equipment, and
(g) Waste disposal and contracts for waste disposal in established permitted landfills and facilities."
26,dhs,Administrative & Regulatory Activities,"A7 The commitment of resources, personnel, and funding to conduct audits, surveys, and data collection of a minimally intrusive nature. If any of these commitments result in proposals for further action, those proposals must be covered by an appropriate CATEX. Examples include but are not limited to:
(a) Activities designed to support the improvement or upgrade management of natural resources, such as surveys for threatened and endangered species, wildlife and wildlife habitat, historic properties, and archeological sites; wetland delineations; timber stand examination; minimal water, air, waste, material and soil sampling; audits, photography, and interpretation.
(b) Minimally-intrusive geological, geophysical, and geo-technical activities, including mapping and engineering surveys.
(c) Conducting Facility Audits, Environmental Site Assessments and Environmental Baseline Surveys, and
(d) Vulnerability, risk, and structural integrity assessments of infrastructure."
27,dhs,Administrative & Regulatory Activities,A8 Review of and comment on documents that did not originate in DHS.
28,nps,A. Actions Related to General Administration.,(1) Changes or amendments to an approved action when such changes would cause no or only minimal environmental impact. 
29,nps,A. Actions Related to General Administration.,"(2) Land and boundary surveys, "
30,nps,A. Actions Related to General Administration.,"(3) Minor boundary changes, "
31,nps,A. Actions Related to General Administration.,"(4) Reissuance/renewal of permits, rights-of-way or easements not involving new environmental impacts, "
32,nps,A. Actions Related to General Administration.,"(5) Conversion of existing permits to rights-of-way, when such conversions do not continue or initiate unsatisfactory environmental conditions, "
33,nps,A. Actions Related to General Administration.,"(6) Issuances, extensions, renewals, reissuances or minor modifications of concession contracts or permits not entailing new construction, "
34,nps,A. Actions Related to General Administration.,"(7) Commercial use licenses involving no construction, "
35,nps,A. Actions Related to General Administration.,"(8) Leasing of historic properties in accordance with 36 CFR Part 18 and NPS-38, "
36,nps,A. Actions Related to General Administration.,"(9) Preparation and issuance of publications, "
37,nps,A. Actions Related to General Administration.,"(10) Modifications or revisions to existing regulations, or the promulgation of new regulations for NPS-administered areas, provided the modifications, revisions or new regulations do not: 
(a) Increase public use to the extent of compromising the nature and character of the area or causing physical damage to it, 
(b) Introduce noncompatible uses which might compromise the nature and characteristics of the area, or cause physical damage to it, 
(c) Conflict with adjacent ownerships or land uses, or 
(d) Cause a nuisance to adjacent owners or occupants. "
38,nps,A. Actions Related to General Administration.,"(11) At the direction of the NPS responsible official, actions where NPS has concurrence or coapproval with another bureau and the action is a categorical exclusion for that bureau. "
39,nps,E. Actions Related to Resource Management and Protection. ,(1) Archeological surveys and permits involving only surface collection or small-scale test excavations. 
40,nps,E. Actions Related to Resource Management and Protection. ,(2) Day-to-day resource management and research activities. 
41,nps,E. Actions Related to Resource Management and Protection. ,(3) Designation of environmental study areas and research natural areas. 
42,nps,E. Actions Related to Resource Management and Protection. ,(4) Stabilization by planting native plant species in disturbed areas. 
43,nps,E. Actions Related to Resource Management and Protection. ,(5) Issuance of individual hunting and/or fishing licenses in accordance with State and Federal regulations. 
44,nps,E. Actions Related to Resource Management and Protection. ,(6) Restoration of noncontroversial native species into suitable habitats within their historic range and elimination of exotic species. 
45,nps,E. Actions Related to Resource Management and Protection. ,"(7) Removal of park resident individuals of non-threatened/endangered species which pose a danger to visitors, threaten park resources or become a nuisance in areas surrounding a park, when such removal is included in an approved resource management plan. "
46,nps,E. Actions Related to Resource Management and Protection. ,(8) Removal of non-historic materials and structures in order to restore natural conditions. 
47,nps,E. Actions Related to Resource Management and Protection. ,"(9) Development of standards for, and identification, nomination, certification and determination of eligibility of properties for listing in the National Register of Historic Places and the National Historic Landmark and National Natural Landmark Programs. "